127.0.0.1, 2016-06-17 19:52:14, GET, /, HTTP/1.1, 303, 0.012000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/default/index, HTTP/1.1, 200, 1.486000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-17 19:52:16, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-17 19:52:18, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-06-17 19:52:18, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-06-17 19:52:18, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-17 19:52:18, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-06-17 19:52:18, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-17 19:52:18, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
